id;adresse;ville;codePostal
257;5b rue eugene manuel, 75116 paris;;75116
258;171 boulevard du montparnasse, 75006 paris;;75006
259;avenue charles risler, 75007 paris;;75007
7217;1/5a ruea saint eleuthere;;75018
8549;avenue dutuit, 75008 paris;;75008
7216;pont des arts, 75001 paris;;75001
7219;ruea de bearn;;75003
8547;94 rue jean-pierre timbaud, 75011 paris;;75011
7218;rue veron, 75018 paris;;75018
8548;1 square bolivar, 75019 paris;;75019
7231;5 rue georges ville, 75116 paris;;75116
8563;rue jean-henri fabre, 75018 paris;;75018
7230;116a avenuea du president kennedy (maison radio);;75016
8564;27 rue de conde, 75006 paris;;75006
7233;11b rue saint-maur, 75011 paris;;75011
8561;3 rue stendhal, 75020 paris;;75020
7232;3a ruea bachaumont;;75002
8562;77 rue claude decaen, 75012 paris;;75012
7235;ruea fessart;;75019
8567;rue de tombouctou, 75018 paris;;75018
7234;centrea morland/salles 1030/2044 et 2048;;75004
8568;25 rue jules siegfried, 75020 paris;;75020
7237;25a avenuea des champs elysees/hotel paiva;;75008
8565;9 rue des petites ecuries, 75010 paris;;75010
7236;18a ruea vaucquelin;;75005
8566;42 boulevard de bercy, 75012 paris;;75012
260;15 rue chateaubriand, 75008 paris;;75008
261;21 rue le regrattier, 75004 paris;;75004
8560;rue saint-lazare, 75009 paris;;75009
262;rue elsa morante, 75013 paris;;75013
263;1 rue du pont louis-philippe, 75004 paris;;75004
264;28a ruea de douai;;75009
265;rue de harlay, 75001 paris;;75001
266;72a ruea louis lumiere;;75020
267;boulevard de l'amiral bruix, 75116 paris;;75116
268;avenuea de villiers;;75017
269;160 rue saint-maur, 75011 paris;;75011
7228;quaia bourbon;;75004
7227;15 avenue foch, 75116 paris;;75116
8558;rue briquet, 75018 paris;;75018
7229;76 boulevard de charonne, 75020 paris;;75020
8559;rue d'orchampt, 75018 paris;;75018
7242;ruea jose maria heredia;;75007
8574;34 rue du grenier saint-lazare, 75003 paris;;75003
7241;placea de la concorde;;75008
8575;passage du caire, 75002 paris;;75002
7244;15 passage du bureau, 75011 paris;;75011
8572;12 rue du parc royal, 75003 paris;;75003
7243;15 rue helene brion, 75013 paris;;75013
8573;cite de trevise, 75009 paris;;75009
7246;ruea saint julien le pauvre;;75005
8578;16 place de la bourse, 75002 paris;;75002
7245;route des moulins, 75016 paris;;75016
8579;place vendome, 75001 paris;;75001
7248;boulevarda de clichy;;75018
8576;boulevard de reuilly, 75012 paris;;75012
7247;71 rue du ranelagh, 75016 paris;;75016
8577;rue de la grange aux belles, 75010 paris;;75010
270;ponta d'iena;;75007
271;64 rue de lille, 75007 paris;;75007
8570;cour des petites ecuries, 75010 paris;;75010
272;14a quaia de seine/cinema mk2;;75019
8571;61 rue riquet, 75019 paris;;75019
273;place henri bergson, 75008 paris;;75008
7240;95a quaia de seine;;75019
274;29/37a ruea le brun;;75013
275;7 rue aristide bruant, 75018 paris;;75018
276;ruea de la cossonnerie;;75001
277;52 rue rene boulanger, 75010 paris;;75010
278;5/7a ruea de l'echelle;;75001
279;avenuea des champs elysees;;75008
7239;2/10a coura des petites ecuries;;75010
7238;quaia des grands augustins;;75006
8569;12 rue cortambert, 75116 paris;;75116
7253;place du carrousel, 75001 paris;;75001
8585;126 rue reaumur, 75002 paris;;75002
7252;7 place du pantheon, 75005 paris;;75005
8586;58 rue de passy, 75016 paris;;75016
7255;avenue du professeur andre lemierre, 75020 paris;;75020
8583;rue des barres, 75004 paris;;75004
