id;nom;idgenre
97;said khediri;
1856;stephane malhuret;
98;jean claude brisseau;
99;igor gotesman;
1624;eric baudelaire;
1621;matt bloom robert burke ronan burke;
1861;archie borders;
1860;titus selge;
1628;baya kasmi;
1868;marc-aurele vecchione;
1626;stephane foenkinos;
1867;francis magnin;
1880;eric le roux;
1635;cyprien vial;
1634;charlotte brandstrom;
1875;nicolas parisier;
1632;ken scott;
1630;mathias malzieu;
1639;stephane marelli;
1637;danielle arbid;
1636;gary gray;
1646;zhang bo li;
1888;michel reilhac;
1644;noemie saglio;
1401;anthony marciano;
1642;benoit jacquot;
1882;yves renier;
1881;laurent lafitte;
1408;andrei smirnov;
1407;vianney lebasque;
1649;laurent rochette;
1415;juan pablo martinez;
1412;fabrice gobert;
1410;dan palladino;
1652;alexandre da silva;
1419;bernard stora;
1418;quentin reynaud;
1659;frederic jardin;
1416;amanda sthers;
1426;frederic forestier;
1666;james huth;
1664;frankie wallach;
1421;ludovik;
1661;mia hansen-love;
1440;philippe harel;
1682;fabrice eboue;
1434;frederic berthe;
1675;nathalie masduraud;
1673;leo karmann;
1672;benedicte delmas;
1438;julien rappeneau;
1689;herve hadmar;
1447;marie jardillier mathieu oullion;
1205;gabriel julien-laferriere;
1446;ralph fiennes;
1688;julien weill;
1686;edouard deluc;
1202;katia lewkowicz;
1444;clovis cornillac;
1441;arnaud selignac;
1208;kim nguyen;
1449;blandine lenoir;
1207;john waxxx;
