id;titre;annee;genre;auteur;lieu;note
8165;le gendre ideal;;;863;8165;-1.0
8166;skam saison 5 et 6 semaine 7 sur 9;;;0;8166;-1.0
8164;rose;2011;1;230;8164;7.6
2856;le dossier bobinsky;2020;10;979;2856;-1.0
2855;charon;2015;15;1475;2855;7.0
3708;mes provinciales;;;1617;3708;-1.0
3709;2fils (inversion decor du au changement de comedienne);;;0;3709;-1.0
3700;casanova;2005;0;1642;3700;6.5
8170;femme-enfant;1980;1;0;8170;6.2
8175;boomerang;1992;7;868;8175;5.6
8173;arsene lupin;1916;11;1265;8173;6.5
3719;tournage web serie frustration ep 8;;;1498;3719;-1.0
8181;candice renoir saison 7 ep 62-63-64;;;1593;8181;-1.0
8185;fahim;2019;8;872;8185;6.8
8183;van gogh in love;2021;7;495;8183;-1.0
3728;sans mensonges;2017;7;1867;3728;-1.0
5909;us;2019;12;1174;5909;6.8
5901;valide;2020;;110;5901;7.4
8199;derby girl;2020;7;825;8199;6.9
8190;a tes cotes;;;1515;8190;-1.0
8191;c'e tempo;2019;7;1046;8191;5.3
8196;fleabag;2019;7;0;8196;8.7
8195;riviera saison 2;;;576;8195;-1.0
3738;guy;2018;7;65;3738;6.8
2403;mystere a l'elysee;2018;11;1538;2403;6.2
1555;chroniques parisiennes 15;;;0;1555;-1.0
2882;all inclusive;2017;7;305;2882;5.5
3733;la finale;1999;7;640;3733;-1.0
5914;josephine ange gardien tous pour un;;;592;5914;-1.0
2896;alice nevers e114-115 (partie 2/3);;;0;2896;-1.0
2893;mon chien stupide;;;1150;2893;-1.0
3745;profilage 90/91;;;1369;3745;-1.0
3771;anna m.;2007;1;0;3771;6.7
3772;yao (toucouleur);;;462;3772;-1.0
5950;neuilly sa mere, sa mere;;;34;5950;-1.0
2441;comme un pere;;;31;2441;-1.0
1587;dans les bois;2014;15;0;1587;-1.0
4613;dans l'enfer des foyers;;;1018;4613;-1.0
3783;2 fils (6eme partie);;;0;3783;-1.0
5953;clem saison 8 ep 44 et 45;;;628;5953;-1.0
6800;toucouleur (yao);;;0;6800;-1.0
3777;access session 2;;;874;3777;-1.0
4624;il etait une seconde fois;;;635;4624;-1.0
4626;wtf france;;;1467;4626;-1.0
2463;30 vies;2011;1;1827;2463;6.6
6817;le jeu;2018;13;54;6817;6.1
6830;boutchou;2020;7;924;6830;4.2
2473;normal;2003;1;183;2473;7.2
3316;le doudou;2011;19;0;3316;-1.0
3315;jeanne;1967;;0;3315;-1.0
2467;video social media ratp;;;387;2467;-1.0
4660;heinrich vogeler;2021;14;716;4660;-1.0
3332;un village francais;2017;1;0;3332;8.4
6837;2fils (4eme partie);;;0;6837;-1.0
6850;magic kids;2010;15;860;6850;-1.0
6852;guepardes;2018;7;13;6852;6.8
2490;sacha;1980;20;0;2490;-1.0
5519;un couteau dans le coeur;;;0;5519;-1.0
5997;presidents;1995;10;0;5997;6.9
6848;made in china;2009;10;196;6848;4.1
3345;lolywood - la bible de l'homme;;;1748;3345;-1.0
6854;seuls;2017;0;66;6854;5.1
7703;l'ascension;;;0;7703;-1.0
7704;les 7 nains et moi;;;1809;7704;-1.0
6859;skam saison 5 et 6 semaine 8 sur 9bis;;;0;6859;-1.0
5529;fan de;1997;14;81;5529;-1.0
5541;forte;2009;15;0;5541;-1.0
6873;chroniques parisiennes 17;;;0;6873;-1.0
2024;feu !!;2004;1;0;2024;7.0
7712;des vacances a tout prix;;;1152;7712;-1.0
757;josephine ange gardien episode 110-111 mon fils de la lune;;;0;757;-1.0
7715;l'opera;2010;21;738;7715;8.5
5538;2fils (aditif 16/10/2017);;;0;5538;-1.0
7717;doxa(additif) dossier 1994;;;1176;7717;-1.0
6881;les champs de fleurs;;;417;6881;-1.0
6880;chroniques parisiennes 18;;;0;6880;-1.0
6882;l'echange;;;1321;6882;-1.0
7732;bliss;2021;1;1447;7732;5.3
3372;intime conviction;2014;11;1472;3372;5.1
1188;mali twist;;;1110;1188;-1.0
5546;tamara 2 demande n°3;;;0;5546;-1.0
6877;bicycle revolution;2017;14;1868;6877;-1.0
7729;un amour impossible;1996;;1736;7729;-1.0
6892;arthur dans la foret;;;0;6892;-1.0
7741;the quest;1996;10;0;7741;5.6
4233;dagboek van een minnares;;;0;4233;-1.0
6405;la fracture;2015;15;0;6405;-1.0
7735;preview;1941;19;214;7735;6.9
6409;c'est quoi ce papy;2021;7;446;6409;-1.0
6408;paranoia park 2021;;;1212;6408;-1.0
7739;cadres noirs;;;783;7739;-1.0
8600;scenes de menage 9 prime;;;0;8600;-1.0
8601;amanda;2018;1;586;8601;7.0
303;chroniques parisiennes 13;;;0;303;-1.0
4235;alice nevers e100-101;;;0;4235;-1.0
7744;documentaire cesar 2018;;;0;7744;-1.0
5569;eye on juliet;2017;1;1208;5569;6.6
7749;l'origine du monde;2001;;1881;7749;4.9
6430;nurses;2020;1;264;6430;5.7
8611;le fataliste;1993;;0;8611;6.1
5584;a la folie;2019;15;337;5584;-1.0
8612;the marvelous mrs maisel;2017;7;1410;8612;8.7
6434;l'enfant et l'oiseau;;;482;6434;-1.0
8610;can't buy me love;1987;7;718;8610;6.8
315;gemini;2017;11;0;315;5.4
799;camera cachee : une petite star piege un prof de skate;;;505;799;-1.0
8604;the white crow;2018;8;1446;8604;6.6
8605;alice nevers episodes 98,99 saison 15;;;0;8605;-1.0
5578;84.2;;;803;5578;-1.0
8602;maya;1993;1;1661;8602;5.4
6426;hommes au bord de la crise de nerfs;;;93;6426;-1.0
8608;un plan parfait;;;1116;8608;-1.0
8609;la lutte des classes;;;1259;8609;-1.0
8607;les beaux esprits;2016;;1407;8607;-1.0
2080;blackpills/playground;;;703;2080;-1.0
8622;celle que vous croyez;2019;1;177;8622;6.9
8623;philharmonia;2019;1;1189;8623;7.3
8620;vernon subutex;2019;11;0;8620;6.7
8621;mais vous etes fous;;;1093;8621;-1.0
2082;a casa tutti bene;;;1229;2082;-1.0
6436;osmosis;2019;6;0;6436;5.9
329;i-art;2018;4;1652;329;-1.0
8613;andy;2019;7;849;8613;5.0
8619;le bureau des legendes s4;;;1814;8619;-1.0
4271;eglandine;;;940;4271;-1.0
8633;dix pour cent  saison 3;;;0;8633;-1.0
8634;dix pour cent saison 3;;;0;8634;-1.0
