key_film;TITRE;AUTEUR;nbEmprunt;annee_tournage;type_tournage;imdbid;year;rating
9392;cry-baby;;;;;0099329;1990;3
9393;casino jack;;;;;1194417;2010;1
9394;man from london, the;;;;;0415127;2007;3
9395;terminator 3: rise of the machines;;;;;0181852;2003;3
9396;animal crackers;;;;;0020640;1930;3
9397;last samurai, the;;;;;0325710;2003;0
9398;a fish called wanda;;;;;0095159;1988;3
9399;d.e.b.s.;;;;;0367631;2004;3
9400;le trone de fer. saison 2, integrale;benioff, david;351;;;;;
9401;lucky number slevin;;;;;0425210;2006;1
9402;friday the 13th: a new beginning;;;;;0089173;1985;3
9403;mirror has two faces, the;;;;;0117057;1996;3
9404;cargo;;;;;0381940;2009;3
9405;thomas crown affair, the;;;;;0155267;1999;1
9406;she made them do it;;;;;2336846;2013;1
9407;once upon a time in vietnam;;;;;2531258;2013;0
9408;modern family;;;;;1442437;2009;3
9409;koroshi no rakuin [branded to kill];;;;;0061882;1967;1
9410;pink floyd the wall;;;;;0084503;1982;0
9411;bleach: memories of nobody;;;;;1105263;2006;3
9412;care bears movie, the;;;;;0088885;1985;3
9413;das letzte schweigen;;;;;1361835;2010;3
9414;dear lemon lima;;;;;1242423;2009;3
5276;le sel des larmes;philippe garrel;;2019;long metrage;;;
9415;rugrats in paris:;;;;;0213203;2000;3
9416;casino royale;campbell, martin;732;;;;;
9417;norbit;;;;;0477051;2007;2
9418;dragons et princesses;ocelot, michel;1230;;;;;
9419;bad and the beautiful, the;;;;;0044391;1952;2
9420;monster high: electrified;;;;;6536944;2017;3
9421;l'aventure, c'est l'aventure;;;;;0066798;1972;0
9422;verdict, the;;;;;0084855;1982;1
9423;love, simon;;;;;5164432;2018;1
9424;phase 7;;;;;1568816;2011;0
9425;matrix reloaded, the;;;;;0234215;2003;3
9426;astaerix & obaelix : mission claeopaatre;chabat, alain;269;;;;;
9427;tree of life, the;;;;;0478304;2011;0
9428;downton abbey. saison 3, integrale;fellowes, julian;333;;;;;
9429;la guerre selon charlie wilson;nichols, mike;163;;;;;
9430;hunger games, the;;;;;1392170;2012;3
9431;minuit dans le jardin du bien et du mal;eastwood, clint;324;;;;;
9432;wedding wars;;;;;0823158;2006;2
9433;touch of evil;;;;;0052311;1958;1
9434;descent: part 2, the;;;;;1073105;2009;3
9435;el regalo;;;;;1305138;2008;2
9436;fury;;;;;2713180;2014;1
