key_lieu;id_lieu;adresse_lieu;ardt_lieu;coord_x;coord_y;geo_shape;geo_point_2d
4294;2020-904;15 rue irenee blanc, 75020 paris;75020;2.4078734;48.865726;"{""type"": ""Point"", ""coordinates"": [2.407873375966318, 48.86572576041631]}";48.8657257604,2.40787337597
4295;2019-1735;11 rue lapeyrere, 75018 paris;75018;2.3428864;48.891968;"{""type"": ""Point"", ""coordinates"": [2.342886372354527, 48.8919667314034]}";48.8919667314,2.34288637235
4296;2016-1004;24  rue  rene boulanger;75010;2.362228;48.86845;"{""type"": ""Point"", ""coordinates"": [2.362228000290594, 48.86844999979843]}";48.8684499998,2.36222800029
4297;2019-687;24 rue edouard pailleron, 75019 paris;75019;2.3770223;48.880596;"{""type"": ""Point"", ""coordinates"": [2.377022184193208, 48.88059547269101]}";48.8805954727,2.37702218419
4298;2016-394;rue  de saint petersbourg;75008;2.325492;48.881447;"{""type"": ""Point"", ""coordinates"": [2.325492000469235, 48.881446000390895]}";48.8814460004,2.32549200047
4299;2017-425;1 rue de la bucherie, 75005 paris;75005;2.349123;48.851307;"{""type"": ""Point"", ""coordinates"": [2.349122983364387, 48.85130612489366]}";48.8513061249,2.34912298336
4300;2020-912;rue leroux, 75116 paris;75116;2.2865367;48.871765;"{""type"": ""Point"", ""coordinates"": [2.286536605799752, 48.87176697430769]}";48.8717669743,2.2865366058
4301;2019-1754;place de l'odeon, 75006 paris;75006;2.33901;48.84997;"{""type"": ""Point"", ""coordinates"": [2.339009991428072, 48.84997161806543]}";48.8499716181,2.33900999143
4302;2016-1023;rue  scheffer;75016;2.282488;48.861645;"{""type"": ""Point"", ""coordinates"": [2.282487999897769, 48.8616459999197]}";48.8616459999,2.2824879999
4303;2019-695;40 rue le vau, 75020 paris;75020;2.4109933;48.869835;"{""type"": ""Point"", ""coordinates"": [2.41099327340417, 48.86983569190716]}";48.8698356919,2.4109932734
4304;2016-397;passage  rue mouffetard;75005;2.349646;48.842182;"{""type"": ""Point"", ""coordinates"": [2.349645999373553, 48.842184000351715]}";48.8421840004,2.34964599937
4305;2017-427;quai de la tournelle, 75005 paris;75005;2.3525918;48.8507;"{""type"": ""Point"", ""coordinates"": [2.352591666804892, 48.850698947340966]}";48.8506989473,2.3525916668
4306;2016-804;7 bis  rue  eugene carriere;75018;2.332247;48.889313;"{""type"": ""Point"", ""coordinates"": [2.332247000023992, 48.88931200015627]}";48.8893120002,2.33224700002
