key_realisateur;key_film;AUTEUR
805;;edwards, cory
806;;lagravenese, richard
807;;whedon, joss
808;7113;philippe de chauveron
809;8665;leo zhang
810;7130;gregory magne
811;5075;david chausse
812;;zwick, edward
813;7458;thomas gilou
814;;safdie, ben
815;;woo, john
816;;lee, sung-gang
817;;gondry, michel
818;;macdonald, kevin
819;8249;david hugonot petit
820;3200;tomer sisley
821;4584;kyan khojandi
822;4584;bruno muschio
823;5842;fabrice laffont
824;7645;sophie marceau
825;8199;nikola lange
826;;nishikubo, mizuho
827;;salles, walter
828;;krasinski, john
829;;kervern, gustave
830;;batra, ritesh
831;;martin-laval, pierre-francois
832;8551;mabrouk el mechri
833;8453;theodore bonnet
834;;fontaine, anne
835;7363;elsa bennett
836;7363;hippolyte dard
837;7995;cecilia rouaud
838;;boreal, marc
839;;gastambide, franck
840;7327;ludovic bergery
841;8242;nadege loiseau
842;8286;nessim chikhaoui
843;8836;sou abadi
844;;nemes, laszlo
845;6058;olivier baroux
846;;honore, christophe
847;8319;eric guirado
848;8874;tarek boudali
849;8613;david weill
850;;moati, faelix
851;;bescond, andrea
852;;ball, wes
853;;macfarlane, seth
854;;soderguit, alfredo
855;;fehner, lea
856;6178;ladislas chollat
857;;yamamoto, nizo
858;1399;martin rosete
859;;kassovitz, mathieu
860;6850;jean luc bertrand
861;;ralli, pierre
862;;telerman, cecile
863;8165;hector cabell reyes
864;3415;navie
865;3415;flober
866;;chazelle, damien
867;5604;jean-luc ayach
868;8175;dime davis
869;8688;laurent cantet
870;;stoller, nicholas
871;8022;dearbhla walsh
872;8185;pierre-francois martin-laval
873;;maclane, angus
874;3777;fred scotlande
875;8804;martin wood
876;7921;laurent tuel
877;;schesch, stephan
878;8071;xabi molia
879;;granik, debra
880;4053;elia souleiman
881;;blomkamp, neill
882;;muschietti, andy
883;;lenoir, blandine
884;;belvaux, lucas
885;;panahandeh, ida
886;8423;anais volpe
887;;schwentke, robert
888;7902;steven lilien
889;7902;bryan wynbrandt
890;;reed, peyton
891;;marquand, richard
892;;placido, michele
893;;cameron, cody
894;7988;audrey estrougo
895;8503;david lanzmann
896;;dhont, lukas
897;;grand corps malade
898;8835;christophe barraud
899;7672;pawel pawlikowski
900;3987;lise akoka
901;3987;romane gueret
902;8678;louis-do lencquesaing
903;6923;constance meyer
904;;gosnell, raja
905;8527;clement pillet
906;8527;julien arnardi
907;6640;eric woreth
908;;mendonca filho, kleber
909;1085;loic armel colin
910;2959;pape amadou sy
911;;amenabar, alejandro.
912;;abrams, j. j.
913;;dudok de wit, michaeel
914;;stromberg, robert
915;;jenkins, patty
916;;saleh, tarik
917;8346;frederic mermoud
918;;turteltaub, jon
919;;lioret, philippe
920;;waititi, taika
921;;lacheau, philippe
922;;boon, dany
923;6830;adrien piquet-gauthier
924;6830;simon istolainen
925;;glazer, jonathan
926;;stanton, andrew
927;1090;tristan aurouet, thomas bidegain, marc fitoussi, cyril gelblat, vianney lebasque
928;8521;elia suleiman
929;412;francois velle
930;;dante, joe
931;;van dormael, jaco
932;;giovanetti, guillaume
933;; my uncle"
934;8863;franck gastambide
935;;chow, stephen
936;;moreau, david
937;8275;yoann guillouzouic
938;;tyldum, morten
939;;annaud, jean-jacques
940;4271;florent bernard
941;;luske, hamilton
942;;jaspaert, jeroen
943;;gray, james
944;8558;zhou gao wu
945;8061;ken biller
946;;gozlan, yann
947;;arcady, alexandre
948;;bayona, juan antonio
949;7939;sylvie ohayon
950;;lilienfeld, jean-paul
951;8700;bouvard viret
952;;zeitlin, benh
953;;niccol, andrew
